Schengen,Period,lambda,mu,sigma,K
Schengen,Early Morning,0.040522787119052855,56.3623175209234,21.030014821647036,1.173440607582745
Hors Schengen,Early Morning,0.042484534139409794,59.026647178971004,26.339686195427113,0.8936316523003616
Schengen,Morning,0.020568818615638695,52.967357004782045,23.057859663410287,2.1084905552222977
Hors Schengen,Morning,0.01930672256284049,58.92587607413154,32.24520685416704,1.606298585334776
Schengen,Afternoon,0.017922072369440014,53.6408216367939,23.65683662653568,2.3586043906569034
Hors Schengen,Afternoon,0.015462240366199611,59.26004143925492,30.682078914381105,2.107865021679795
Schengen,Evening,0.017287225885481573,52.18743510094318,23.235594373801995,2.4895503084869484
Hors Schengen,Evening,0.017229718289489975,57.84787444107786,34.91171902196895,1.662457646007166
